drug_concept_id,n,concept_name,concept_class_id,vocabulary_id
1121170,1,dextromethorphan hydrobromide 3 MG/ML / guaifenesin 50 MG/ML Oral Solution [Vita Numonyl DM],Branded Drug,RxNorm
1121606,1,Dextromethorphan 30 MG / Guaifenesin 800 MG Oral Tablet,Clinical Drug,RxNorm
1125320,4,acetaminophen 325 MG / butalbital 50 MG Oral Tablet,Clinical Drug,RxNorm
1125321,1,acetaminophen 650 MG / butalbital 50 MG Oral Tablet,Clinical Drug,RxNorm
1125357,4,acetaminophen 120 MG Rectal Suppository,Clinical Drug,RxNorm
1125359,2,acetaminophen 325 MG Rectal Suppository,Clinical Drug,RxNorm
1125360,15,acetaminophen 500 MG Oral Capsule,Clinical Drug,RxNorm
1125392,8,acetaminophen 650 MG Rectal Suppository,Clinical Drug,RxNorm
1126460,1,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule [Anoquan],Branded Drug,RxNorm
1126494,1,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule [Esgic],Branded Drug,RxNorm
1126538,1,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet [Americet],Branded Drug,RxNorm
1126540,3,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet [Esgic],Branded Drug,RxNorm
1126563,1,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet [Isocet],Branded Drug,RxNorm
1126564,1,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet [Pharmagesic],Branded Drug,RxNorm
1126620,1,Acetaminophen 400 MG / pamabrom 25 MG Oral Tablet [Midol Teen],Branded Drug,RxNorm
1126747,2,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule,Clinical Drug,RxNorm
1126750,14,acetaminophen 100 MG/ML Oral Solution,Clinical Drug,RxNorm
1126824,1,acetaminophen 650 MG / phenyltoloxamine citrate 50 MG Oral Tablet,Clinical Drug,RxNorm
1126872,2,acetaminophen 100 MG/ML Oral Suspension,Clinical Drug,RxNorm
1126911,1,acetaminophen 65 MG/ML Oral Solution,Clinical Drug,RxNorm
