"covariateId","covariateName","analysisId","conceptId","valueAsConceptId","collisions","covariateValue"
19073217301,"drug_exposure any time prior through 0 days relative to index: ampicillin 50 MG/ML Oral Suspension",301,19073217,NA,NA,-8.58000417481519
312648101,"condition_occurrence any time prior through 0 days relative to index: Benign essential hypertension",101,312648,NA,NA,-8.31562987696428
81611101,"condition_occurrence any time prior through 0 days relative to index: Diverticular disease of colon",101,81611,NA,NA,-7.52267915627419
6003,"age group:  30 -  34",3,0,NA,NA,7.25555231718401
255348101,"condition_occurrence any time prior through 0 days relative to index: Polymyalgia rheumatica",101,255348,NA,NA,-5.85816647760213
19040182301,"drug_exposure any time prior through 0 days relative to index: potassium chloride 8 MEQ Extended Release Oral Tablet [Slow-K]",301,19040182,NA,NA,5.4553956918106
136788101,"condition_occurrence any time prior through 0 days relative to index: Spinal stenosis of lumbar region",101,136788,NA,NA,-5.42597335495669
19079776301,"drug_exposure any time prior through 0 days relative to index: Timolol 5 MG/ML Ophthalmic Solution",301,19079776,NA,NA,5.38464104345027
19018872301,"drug_exposure any time prior through 0 days relative to index: chlorzoxazone 500 MG Oral Tablet",301,19018872,NA,NA,-4.39053144936995
40163333301,"drug_exposure any time prior through 0 days relative to index: propranolol hydrochloride 20 MG Oral Tablet",301,40163333,NA,NA,-3.26855821458359
79172101,"condition_occurrence any time prior through 0 days relative to index: Closed fracture of coronoid process of ulna",101,79172,NA,NA,-3.11279231799473
201603101,"condition_occurrence any time prior through 0 days relative to index: Disorder of teeth AND/OR supporting structures",101,201603,NA,NA,-3.0983739908219
1836434301,"drug_exposure any time prior through 0 days relative to index: sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet",301,1836434,NA,NA,-2.72492351502326
136057101,"condition_occurrence any time prior through 0 days relative to index: Benign neoplasm of skin of trunk",101,136057,NA,NA,-2.59008874930922
19038548301,"drug_exposure any time prior through 0 days relative to index: polymyxin B 10000 UNT/ML / trimethoprim 1 MG/ML Ophthalmic Solution [Polytrim]",301,19038548,NA,NA,2.46321153490593
715236301,"drug_exposure any time prior through 0 days relative to index: baclofen 20 MG Oral Tablet",301,715236,NA,NA,-2.24075523835762
195401101,"condition_occurrence any time prior through 0 days relative to index: Contusion of hip",101,195401,NA,NA,-2.23921113506536
436665101,"condition_occurrence any time prior through 0 days relative to index: Bipolar disorder",101,436665,NA,NA,-2.20845736083136
929954301,"drug_exposure any time prior through 0 days relative to index: lansoprazole 15 MG Delayed Release Oral Capsule [Prevacid]",301,929954,NA,NA,-2.15133965239827
194133101,"condition_occurrence any time prior through 0 days relative to index: Low back pain",101,194133,NA,NA,-2.07811385286975
374375101,"condition_occurrence any time prior through 0 days relative to index: Impacted cerumen",101,374375,NA,NA,-2.00009041495165
19018935301,"drug_exposure any time prior through 0 days relative to index: digoxin 0.125 MG Oral Tablet",301,19018935,NA,NA,-1.94593491521129
19077601301,"drug_exposure any time prior through 0 days relative to index: gentamicin 3 MG/ML Ophthalmic Solution",301,19077601,NA,NA,1.9114840471844
437912101,"condition_occurrence any time prior through 0 days relative to index: Congenital maxillary hyperplasia",101,437912,NA,NA,-1.7162558381464
19019273301,"drug_exposure any time prior through 0 days relative to index: naproxen 500 MG Oral Tablet",301,19019273,NA,NA,-1.71025449712551
